node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
R_145,6,0.014,0.0016,0.0773,0.0006
R_1450,8,0.0193,0.0008,0.0752,0.0008
R_1451,0,0.0147,0.0184,0.0579,0.0006
R_1452,3,0.0153,0.0426,0.052,0.0006
R_1453,7,0.014,0.0087,0.072,0.0006
R_1454,0,0.0147,0.0001,0.0612,0.0006
R_1455,0,0.0173,0.0002,0.0612,0.0007
R_1456,6,0.018,0.0006,0.0725,0.0007
R_1457,11,0.0153,0.0033,0.0649,0.0006
R_1458,7,0.0167,0.0072,0.0672,0.0006
R_1459,10,0.0207,0.0013,0.0419,0.0008
R_146,3,0.016,0.0312,0.054,0.0006
R_1460,0,0.0173,0.0003,0.0573,0.0007
R_1461,6,0.0167,0.0026,0.0775,0.0007
R_1462,7,0.014,0.0003,0.0623,0.0006
R_1463,3,0.016,0.0004,0.0484,0.0006
R_1464,3,0.0153,0.0004,0.0499,0.0006
R_1465,4,0.0153,0.0005,0.0385,0.0006
R_1466,8,0.014,0.0022,0.0754,0.0006
R_1467,3,0.0167,0.0191,0.0503,0.0007
R_1468,7,0.0193,0.001,0.0676,0.0007
R_1469,0,0.0213,0.007,0.0615,0.0008
R_147,4,0.02,0.0002,0.0374,0.0008
